3376490 function calls (3371733 primitive calls) in 13.568 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  2713770    5.261    0.000    5.261    0.000 {method 'blit' of 'pygame.Surface' objects}
     5256    4.082    0.001    9.873    0.002 2Dgame.py:174(draw)
     5256    2.073    0.000    2.073    0.000 {built-in method pygame.display.flip}
     5256    0.892    0.000    0.892    0.000 {method 'fill' of 'pygame.Surface' objects}
     5256    0.301    0.000    0.301    0.000 {built-in method pygame.event.get}
        1    0.134    0.134    0.134    0.134 {built-in method pygame.base.init}
     1660    0.091    0.000    0.091    0.000 {built-in method nt.stat}
     5256    0.074    0.000    0.347    0.000 2Dgame.py:326(draw)
   270127    0.073    0.000    0.073    0.000 {built-in method math.ceil}
     5256    0.073    0.000    0.073    0.000 {built-in method pygame.draw.rect}
        1    0.072    0.072   13.568   13.568 2Dgame.py:1(<module>)
     5256    0.039    0.000    0.049    0.000 2Dgame.py:196(move)
     5256    0.035    0.000    0.263    0.000 2Dgame.py:282(draw)
    36/33    0.033    0.001    0.038    0.001 {built-in method _imp.create_dynamic}
     5256    0.029    0.000    0.058    0.000 2Dgame.py:241(gravity)
        1    0.022    0.022    0.265    0.265 {built-in method pygame.display.set_mode}
      177    0.020    0.000    0.020    0.000 {built-in method nt.listdir}
      118    0.015    0.000    0.015    0.000 {built-in method pygame.imageext.load_extended}
     2621    0.015    0.000    0.015    0.000 {built-in method builtins.round}
      165    0.014    0.000    0.014    0.000 {built-in method io.open_code}
      102    0.014    0.000    0.014    0.000 {built-in method marshal.loads}
   500/89    0.009    0.000    0.025    0.000 sre_parse.py:493(_parse)
      181    0.009    0.000    0.009    0.000 {method 'read' of '_io.BufferedReader' objects}
    54910    0.008    0.000    0.008    0.000 {method 'get_rect' of 'pygame.Surface' objects}
    38766    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
  411/408    0.005    0.000    0.033    0.000 {built-in method builtins.__build_class__}
    15772    0.005    0.000    0.005    0.000 {built-in method time.time}
     3357    0.005    0.000    0.006    0.000 ntpath.py:124(splitdrive)
      418    0.004    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
    13053    0.004    0.000    0.004    0.000 sre_parse.py:233(__next)
      586    0.004    0.000    0.013    0.000 version.py:205(_legacy_cmpkey)
   861/83    0.004    0.000    0.011    0.000 sre_compile.py:71(_compile)
     7222    0.004    0.000    0.007    0.000 version.py:187(_parse_version_parts)
        1    0.003    0.003    0.003    0.003 decoder.py:343(raw_decode)
    11717    0.003    0.000    0.007    0.000 sre_parse.py:254(get)
     1413    0.003    0.000    0.008    0.000 ntpath.py:77(join)
       28    0.003    0.000    0.003    0.000 {built-in method nt._getfinalpathname}
      351    0.003    0.000    0.004    0.000 sre_compile.py:276(_optimize_charset)
      888    0.003    0.000    0.007    0.000 version.py:271(__init__)
      165    0.003    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:969(get_data)
      118    0.002    0.000    0.002    0.000 {built-in method pygame.transform.scale}
     5755    0.002    0.000    0.003    0.000 sre_parse.py:164(__getitem__)
    18494    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
      586    0.002    0.000    0.002    0.000 {method 'split' of 're.Pattern' objects}
    122/1    0.002    0.000   13.568   13.568 {built-in method builtins.exec}
    19045    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
      889    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
      389    0.002    0.000    0.003    0.000 ntpath.py:180(split)
     2390    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
        9    0.002    0.000    0.002    0.000 {method 'render' of 'pygame.font.Font' objects}
 1008/239    0.002    0.000    0.002    0.000 sre_parse.py:174(getwidth)
     8129    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
      102    0.001    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:849(get_code)
14852/13867  0.001    0.000    0.002    0.000 {built-in method builtins.len}
       19    0.001    0.000    0.001    0.000 {built-in method io.open}
     2390    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
    162/7    0.001    0.000    0.349    0.050 <frozen importlib._bootstrap>:986(_find_and_load)
   336/83    0.001    0.000    0.026    0.000 sre_parse.py:435(_parse_sub)
3174/3170    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
     1044    0.001    0.000    0.018    0.000 __init__.py:2064(dist_factory)
     2222    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      159    0.001    0.000    0.052    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        2    0.001    0.001    0.002    0.001 {method 'readlines' of '_io._IOBase' objects}
      471    0.001    0.000    0.004    0.000 copy.py:66(copy)
      288    0.001    0.000    0.038    0.000 __init__.py:2115(distributions_from_metadata)
      302    0.001    0.000    0.001    0.000 version.py:474(_cmpkey)
      231    0.001    0.000    0.042    0.000 re.py:289(_compile)
       19    0.001    0.000    0.003    0.000 __init__.py:313(namedtuple)
      204    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
      274    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      144    0.001    0.000    0.013    0.000 __init__.py:2573(from_location)
     1039    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFF211EA810}
      471    0.001    0.000    0.002    0.000 copy.py:258(_reconstruct)
      147    0.001    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      150    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
      335    0.001    0.000    0.001    0.000 pyparsing.py:1144(__init__)
      730    0.001    0.000    0.018    0.000 version.py:48(parse)
     1790    0.001    0.000    0.001    0.000 version.py:98(_compare)
    153/7    0.001    0.000    0.346    0.049 <frozen importlib._bootstrap>:650(_load_unlocked)
     1143    0.001    0.000    0.063    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
     5373    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      274    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      160    0.001    0.000    0.015    0.000 __init__.py:2049(<genexpr>)
    162/7    0.001    0.000    0.349    0.050 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
     3177    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     2344    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     2198    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      329    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
     6072    0.001    0.000    0.001    0.000 {built-in method nt.fspath}
     2884    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
     3685    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
       18    0.001    0.000    0.037    0.002 {built-in method builtins.sorted}
      204    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
